Date,BDRY_Price_USD
2024-12-16,6.21999979019165
2024-12-23,6.099999904632568
2024-12-30,6.260000228881836
2025-01-06,6.699999809265137
2025-01-13,5.71999979019165
2025-01-20,5.139999866485596
2025-01-27,5.769999980926514
2025-02-03,5.860000133514404
2025-02-10,5.639999866485596
2025-02-17,6.320000171661377
2025-02-24,6.400000095367432
2025-03-03,6.570000171661377
2025-03-10,6.949999809265137
2025-03-17,6.909999847412109
2025-03-24,6.360000133514404
2025-03-31,5.619999885559082
2025-04-07,5.630000114440918
2025-04-14,5.739999771118164
2025-04-21,5.920000076293945
2025-04-28,5.840000152587891
2025-05-05,5.429999828338623
2025-05-12,5.504000186920166
2025-05-19,5.150000095367432
2025-05-26,5.190000057220459
2025-06-02,5.409999847412109
2025-06-09,5.869999885559082
2025-06-16,5.730000019073486
2025-06-23,5.584000110626221
2025-06-30,5.929999828338623
2025-07-07,7.090000152587891
2025-07-14,7.400000095367432
2025-07-21,7.150000095367432
2025-07-28,7.460000038146973
2025-08-04,7.800000190734863
2025-08-11,8.020000457763672
2025-08-18,8.40999984741211
2025-08-25,8.369999885559082
2025-09-01,8.039999961853027
2025-09-08,8.100000381469727
2025-09-15,8.15999984741211
2025-09-22,8.050000190734863
2025-09-29,7.71999979019165
2025-10-06,8.180000305175781
2025-10-13,8.15999984741211
2025-10-20,7.849999904632568
2025-10-27,8.100000381469727
2025-11-03,8.350000381469727
2025-11-10,8.600000381469727
2025-11-17,8.949999809265137
2025-11-24,8.770000457763672
2025-12-01,9.0
2025-12-08,8.680000305175781
2025-12-15,8.699999809265137
2025-12-22,8.75
2025-12-29,8.770000457763672
